Date,Num_Employees,Returns_Pct,Sales,Num_Customers,Pct_On_Sale,Marketing,Near_Xmas,Near_BlackFriday,Holiday,DestinationEvent,Pct_Promotional,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
2012-07-01,7,1.155238509,13377.10729,57,12.02314724,ID6.1339 July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale,0,0,No,No,4.71e-05,0.5,,0.02
2012-07-02,4,0.458172165,13750.53542,51,10.43986024,ID8.5144 July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale,0,0,No,No,4.71e-05,,,
2012-07-03,4,0.346442074,13029.7625,62,10.80767012,ID20.0807 July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale,0,0,No,No,4.71e-05,,,
2012-07-04,5,0.943401794,13673.93229,61,12.16563709,ID12.3747 July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale,0,0,Yes,No,4.71e-05,,,
2012-07-05,6,0.566246902,13312.06875,52,11.8332277,ID5.3119 July In Store Credit Card Signup Discount;,0,0,No,No,4.71e-05,,,
2012-07-06,7,0.478370543,14818.53542,59,14.52714761,ID36.6079 July In Store Credit Card Signup Discount;,0,0,No,No,4.71e-05,,,
2012-07-07,7,0.857557586,15116.42187,88,10.17351408,ID4.3752 July In Store Credit Card Signup Discount;,0,0,No,No,4.71e-05,,750.0,
2012-07-08,7,0.672528728,13605.98125,58,13.364893,ID20.3276 July In Store Credit Card Signup Discount;,0,0,No,No,0.000693728,,,
2012-07-09,4,0.694121913,12918.60104,42,11.23766656,ID13.2671 July In Store Credit Card Signup Discount;,0,0,No,No,0.000693728,,,
2012-07-10,4,0.369882941,12780.02187,42,8.428058149,ID44.6988 July In Store Credit Card Signup Discount;,0,0,No,No,0.000693728,,,
2012-07-11,5,0.550007882,14511.17292,45,13.28483585,ID55.7791 July In Store Credit Card Signup Discount;,0,0,No,No,0.000693728,,,
2012-07-12,7,1.044234669,14170.40417,49,10.92523105,ID47.8566 July In Store Credit Card Signup Discount;,0,0,No,No,0.000693728,,,
2012-07-13,7,0.967336209,13845.58437,51,9.229870359,ID63.3107 July In Store Credit Card Signup Discount;,0,0,No,No,0.000693728,,,
2012-07-14,7,0.564545776,14277.73958,66,11.81945327,ID44.1093 July In Store Credit Card Signup Discount;,0,0,No,No,0.000693728,,1250.0,
2012-07-15,7,1.023397263,12902.78854,50,8.546073371,ID75.4052 July In Store Credit Card Signup Discount; Summer Swim Mailer,0,0,No,No,0.001542543,,,
2012-07-16,4,0.733540031,13484.65417,43,11.597209,ID56.8838 July In Store Credit Card Signup Discount; Summer Swim Mailer,0,0,No,No,0.001542543,,,
2012-07-17,4,0.192271564,11584.77396,45,9.233163938,ID71.9272 July In Store Credit Card Signup Discount; Summer Swim Mailer,0,0,No,No,0.001542543,,,
2012-07-18,4,0.861397525,13215.86875,47,7.682225,ID89.3386 July In Store Credit Card Signup Discount; Summer Swim Mailer,0,0,No,No,0.001542543,,,
2012-07-19,6,0.690367985,14434.42917,52,10.84413115,ID84.9644 July In Store Credit Card Signup Discount;,0,0,No,No,0.001542543,,,
2012-07-20,7,1.207197581,13352.26562,52,10.23843258,ID90.2808 July In Store Credit Card Signup Discount;,0,0,No,No,0.001542543,,,
2012-07-21,9,0.351998266,15145.40208,73,8.239816455,ID38.1519 July In Store Credit Card Signup Discount;,0,0,No,No,0.001542543,,-3000.0,
2012-07-22,7,0.248292083,14554.53542,53,7.404551185,ID145.2652 July In Store Credit Card Signup Discount;,0,0,No,No,0.001841075,,,
2012-07-23,6,0.605453902,12722.08854,44,9.712802609,ID153.2562 July In Store Credit Card Signup Discount;,0,0,No,No,0.001841075,,,
2012-07-24,6,0.158634803,13114.64792,44,8.231871614,ID112.1737 July In Store Credit Card Signup Discount;,0,0,No,No,0.001841075,,,
2012-07-25,6,0.866652682,14325.93438,49,7.518531237,ID129.864 July In Store Credit Card Signup Discount;,0,0,No,No,0.001841075,,,
